wavelength(nm)	 n	 k
206.6	 1.54299998283386	 0
226.7	 1.52276003360748	 0
248.3	 1.50840997695923	 0
265.2	 1.50004005432129	 0
280.3	 1.49404001235962	 0
302.2	 1.48719000816345	 0
330.3	 1.48053002357483	 0
361.1	 1.47511994838715	 0
404.7	 1.46960997581482	 0
435.8	 1.46668994426727	 0
467.8	 1.46429002285004	 0
508.6	 1.46186995506287	 0
546.1	 1.46008002758026	 0
577	 1.45885002613068	 0
589.3	 1.45841002464294	 0
643.8	 1.45670998096466	 0
667.8	 1.45607995986938	 0
706.5	 1.4551500082016	 0
852.1	 1.45247995853424	 0
894.4	 1.45185005664825	 0
1014	 1.4502500295639	 0
1128.6	 1.4488799571991	 0
1362.2	 1.44621002674103	 0
1469.5	 1.44497001171112	 0
1660.6	 1.44266998767853	 0
1709.1	 1.44204998016357	 0
2058.1	 1.43721997737885	 0
