wavelength(nm)	n	k
350.397168	1.4768212475331621	0
351.986475	1.4765578571924285	0
353.575781	1.4762983731801693	0
355.165088	1.4760426974821914	0
356.75437	1.4757907365100422	0
358.343628	1.4755423922526707	0
359.932886	1.4752975631987308	0
361.522144	1.4750561518223304	0
363.111377	1.4748180802319675	0
364.70061	1.4745832926107119	0
366.289819	1.474351743666888	0
367.879028	1.4741233810680463	0
369.468213	1.4738981594299543	0
371.057397	1.4736760266589006	0
372.646582	1.473456933715463	0
374.235718	1.4732408385980358	0
375.824878	1.4730276825520607	0
377.414014	1.472817423259843	0
379.003125	1.472610011965642	0
380.592236	1.4724053965859836	0
382.181323	1.4722035313960593	0
383.77041	1.472004364533745	0
385.359473	1.4718078501964085	0
386.948535	1.4716139367283356	0
388.537573	1.4714225781276133	0
390.126587	1.4712337255333547	0
391.715601	1.471047327292077	0
393.30459	1.4708633375357192	0
394.893579	1.4706817045706402	0
396.482544	1.4705023823463155	0
398.071484	1.470325322130356	0
399.660425	1.4701504722366647	0
401.249341	1.4699777867402266	0
402.838232	1.469807216805023	0
404.4271	1.4696387133888102	0
406.015967	1.4694722275026655	0
407.60481	1.4693077292354852	0
409.193652	1.4691451898186874	0
410.782471	1.468984585137808	0
412.37124	1.4688258914700947	0
413.96001	1.4686690773151891	0
415.548779	1.4685141165527211	0
417.1375	1.468360987364797	0
418.726221	1.4682096587264941	0
420.314893	1.4680601089079681	0
421.903564	1.4679123069937983	0
423.492236	1.4677662264849884	0
425.080859	1.4676218455896404	0
426.669482	1.467479133465221	0
428.258057	1.4673380680390764	0
429.846582	1.467198623029962	0
431.435156	1.4670607634384654	0
433.023633	1.466924475557849	0
434.612158	1.4667897205698486	0
436.200586	1.4666564844210015	0
437.789063	1.4665247308452218	0
439.377441	1.4663944526005785	0
440.965869	1.466265618463987	0
442.554199	1.4661382214415544	0
444.142529	1.4660122346091622	0
445.730859	1.4658876390357483	0
447.319141	1.465764419493564	0
448.907373	1.4656425570823213	0
450.495605	1.465522028973943	0
452.083789	1.4654028198240665	0
453.671973	1.4652849070441483	0
455.260107	1.4651682753604087	0
456.848193	1.4650529055845296	0
458.436279	1.464938775249871	0
460.024316	1.4648258688992644	0
461.612305	1.4647141674300583	0
463.200293	1.464603648561554	0
464.788232	1.4644942966607777	0
466.376172	1.464386089314469	0
467.964014	1.4642790142494333	0
469.551855	1.464173046489316	0
471.139697	1.4640681692883803	0
472.727441	1.4639643727895604	0
474.315186	1.4638616341271524	0
475.902881	1.4637599402582442	0
477.490527	1.4636592747287016	0
479.078174	1.4635596180296613	0
480.665771	1.4634609570246957	0
482.25332	1.463363275207945	0
483.84082	1.4632665562633071	0
485.428271	1.463170783815242	0
487.015723	1.463075938518316	0
488.603125	1.4629820070916977	0
490.19043	1.4628889759072523	0
491.777734	1.4627968229739017	0
493.36499	1.4627055346991433	0
494.952246	1.4626150920031764	0
496.539404	1.4625254841137219	0
498.126514	1.4624366918171376	0
499.713623	1.462348696170764	0
501.300684	1.4622614834690946	0
502.887646	1.4621750401340836	0
504.474609	1.4620893443766567	0
506.061523	1.4620043825929205	0
507.64834	1.4619201409840954	0
509.235156	1.461836598247744	0
510.821924	1.4617537456162968	0
512.408643	1.4616715782679386	0
513.995264	1.4615900942620355	0
515.581885	1.4615092841198378	0
517.168457	1.4614291459232196	0
518.754932	1.4613496776222843	0
520.341406	1.4612708699649561	0
521.927783	1.4611927232776714	0
523.51416	1.4611152283410167	0
525.100439	1.4610383855016058	0
526.68667	1.4609621878681127	0
528.272852	1.4608866310502029	0
529.858984	1.4608117106567458	0
531.445068	1.4607374221559215	0
533.031055	1.4606637633784958	0
534.616992	1.4605907276772858	0
536.202881	1.4605183105256756	0
537.788721	1.460446507536212	0
539.374512	1.4603753142760079	0
540.960254	1.4603047263129887	0
542.545898	1.460234741369382	0
544.131494	1.4601653527810825	0
545.716992	1.460096558280212	0
547.30249	1.460028348991305	0
548.887891	1.4599607228159999	0
550.473242	1.4598936706220949	0
552.058496	1.4598271872658637	0
553.643701	1.4597612636050206	0
555.228857	1.4596958925373633	0
556.813965	1.4596310669212718	0
558.398975	1.4595667816776974	0
559.983936	1.4595030276967074	0
561.568799	1.4594397998288253	0
563.153613	1.4593770890005544	0
564.73833	1.4593148899951855	0
566.322998	1.4592531938145006	0
567.907617	1.4591919933687056	0
569.492139	1.4591312834011034	0
571.076611	1.459071055001742	0
572.660986	1.4590113028500944	0
574.245313	1.4589520179938316	0
575.829541	1.4588931952381954	0
577.413672	1.4588348273664442	0
578.997803	1.4587769015042524	0
580.581787	1.4587194095609004	0
582.165723	1.4586623340023126	0
583.749609	1.4586056610019973	0
585.333398	1.4585493783278525	0
586.91709	1.4584934720531921	0
588.500684	1.4584379282913897	0
590.084229	1.4583827317007652	0
591.667725	1.4583278752218967	0
593.251123	1.4582733601042093	0
594.834424	1.4582191861444747	0
596.417627	1.4581653532081524	0
598.000781	1.4581118594757545	0
599.583838	1.45805870641616	0
601.166797	1.4580058938943068	0
602.749707	1.4579534201221374	0
604.33252	1.4579012865379517	0
605.915234	1.457849493038785	0
607.497852	1.4577980393579864	0
609.08042	1.4577469238472096	0
610.662891	1.4576961478714225	0
612.245264	1.4576457112943515	0
613.827539	1.4575956139473611	0
615.409717	1.4575458556305165	0
616.991846	1.4574964346816233	0
618.573877	1.4574473524783789	0
620.155762	1.4573986103262297	0
621.737598	1.4573502050682343	0
623.319385	1.4573021365671666	0
624.901025	1.4572544076327745	0
626.482568	1.457207016572658	0
628.064063	1.4571599617664643	0
629.64541	1.4571132460213123	0
631.226709	1.4570668662148474	0
632.807861	1.4570208250829442	0
634.388965	1.4569751195750722	0
635.969971	1.4569297509843997	0
637.55083	1.456884720533497	0
639.131641	1.4568400252347211	0
640.712354	1.4567956663496677	0
642.29292	1.4567516450700153	0
643.873438	1.4567079584707285	0
645.453857	1.456664605421887	0
647.034131	1.4566215763088266	0
648.614355	1.4565788558811485	0
650.194434	1.4565364340486433	0
651.774414	1.4564942969090013	0
653.354346	1.4564524304654165	0
654.934131	1.4564108246968268	0
656.513818	1.4563694656609807	0
658.093408	1.4563283406969088	0
659.6729	1.4562874372005299	0
661.252246	1.4562467437799536	0
662.831543	1.456206245315415	0
664.410693	1.4561659317045086	0
665.989746	1.4561257890519566	0
667.568701	1.456085804777562	0
669.147559	1.4560459677792368	0
670.72627	1.4560062777515457	0
672.304883	1.455966735558686	0
673.883447	1.4559273420898178	0
675.461816	1.4558881030904796	0
677.040137	1.4558490170075409	0
678.618311	1.4558100883999547	0
680.196387	1.4557713181581924	0
681.774365	1.4557327083877507	0
683.352246	1.4556942611690176	0
684.92998	1.4556559798167945	0
686.507617	1.455617865213448	0
688.085107	1.4555799206614524	0
689.662549	1.455542145880933	0
691.239795	1.4555045465086163	0
692.816992	1.455467121131798	0
694.394043	1.4554298741509881	0
695.970996	1.455392806522335	0
697.547852	1.4553559203194937	0
699.124561	1.4553192187999784	0
700	1.4552989199817383	0
700.701172	1.4552827029099873	0
702.277637	1.4552463758471783	0
703.854004	1.455210238590458	0
705.430225	1.4551742943241568	0
707.006396	1.4551385429309243	0
708.582373	1.4551029884311224	0
710.158301	1.4550676262137625	0
711.734033	1.4550324580498841	0
713.309717	1.454997479109623	0
714.885254	1.454962690073468	0
716.460645	1.4549280893853538	0
718.035938	1.4548936744664431	0
719.611133	1.4548594438011653	0
721.186182	1.4548253969093554	0
722.761084	1.4547915322816924	0
724.335937	1.4547578462971822	0
725.910596	1.4547243405363812	0
727.485156	1.4546910114491844	0
729.059619	1.4546578574814257	0
730.633936	1.454624878145969	0
732.208105	1.4545920719581766	0
733.782178	1.454559436316663	0
735.356152	1.4545269697744478	0
736.92998	1.4544946717845015	0
738.503662	1.4544625408236496	0
740.077246	1.4544305743969164	0
741.650684	1.4543987719651867	0
743.224023	1.4543671310647956	0
744.797217	1.4543356511080072	0
746.370264	1.4543043306155272	0
747.943213	1.4542731671001738	0
749.516016	1.4542421600022422	0
751.088721	1.454211306865405	0
752.661279	1.4541806071414851	0
754.23374	1.4541500583457236	0
755.806055	1.4541196599222723	0
757.378223	1.4540894103763782	0
758.950293	1.4540593072585943	0
760.522217	1.454029349982262	0
762.093994	1.4539995370546968	0
763.665674	1.4539698660231333	0
765.237256	1.4539403354092524	0
766.808643	1.453910945526279	0
768.379932	1.4538816930513325	0
769.951123	1.4538525764890107	0
771.522119	1.4538235961297707	0
773.093018	1.4537947486595841	0
774.663818	1.4537660326217037	0
776.234473	1.4537374473582796	0
777.80498	1.4537089914198749	0
779.375342	1.4536806632489199	0
780.945605	1.4536524605189949	0
782.515723	1.4536243825603854	0
784.085742	1.453596427055246	0
785.655615	1.4535685933458107	0
787.225342	1.4535408799328278	0
788.794971	1.4535132844757452	0
790.364453	1.453485806343518	0
791.933789	1.4534584440216058	0
793.503027	1.4534311951821117	0
795.07207	1.4534040600139564	0
796.641064	1.4533770345026231	0
798.209863	1.4533501196741208	0
799.778564	1.453323312371131	0
801.347168	1.453296611094045	0
802.915625	1.4532700152071987	0
804.483936	1.4532435232027716	0
806.0521	1.4532171336076152	0
807.620166	1.4531908441124262	0
809.188086	1.4531646540380467	0
810.755859	1.4531385619134685	0
812.323535	1.4531125654240526	0
813.891064	1.4530866639171558	0
815.458496	1.4530608550854576	0
817.025781	1.4530351382718236	0
818.59292	1.4530095119759625	0
820.159961	1.4529839739339516	0
821.726855	1.4529585234659608	0
823.293555	1.4529331598500035	0
824.860254	1.4529078784885496	0
826.426758	1.452882681039693	0
827.993066	1.4528575660327734	0
829.559375	1.452832528837883	0
831.125488	1.4528075711335968	0
832.691504	1.4527826898652276	0
834.257324	1.4527578851295786	0
835.823145	1.4527331523372464	0
837.38877	1.4527084931319423	0
838.954199	1.4526839060331347	0
840.519531	1.4526593880128416	0
842.084863	1.4526349360919129	0
843.649902	1.4526105533757023	0
845.214941	1.4525862338284423	0
846.779785	1.4525619790161148	0
848.344531	1.4525377859658566	0
849.90918	1.452513653199196	0
851.473633	1.4524895807752634	0
853.037988	1.4524655657646028	0
854.602246	1.4524416074196707	0
856.166406	1.4524177055503824	0
857.730371	1.4523938614420928	0
859.294238	1.452370073419144	0
860.858008	1.4523463412747437	0
862.421582	1.4523226663147342	0
863.985156	1.4522990453798816	0
865.548535	1.4522754812247034	0
867.111816	1.4522519721908211	0
868.675	1.4522285180719925	0
870.237988	1.452205120157479	0
871.800879	1.452181776769206	0
873.363672	1.4521584877311453	0
874.926367	1.4521352528523506	0
876.488965	1.4521120719271263	0
878.051367	1.452088946228446	0
879.613672	1.4520658740953918	0
881.175879	1.452042855352144	0
882.737988	1.452019889808134	0
884.3	1.451996977258209	0
885.861914	1.4519741175266558	0
887.423633	1.4519513118380099	0
888.985254	1.4519285585807533	0
890.546777	1.4519058575646937	0
892.108203	1.4518832085852194	0
893.669531	1.451860611466829	0
895.230762	1.4518380660029462	0
896.791797	1.4518155733834492	0
898.352832	1.4517931305096476	0
899.913672	1.451770739909171	0
901.474414	1.4517483999101135	0
903.035059	1.4517261102225065	0
904.595605	1.4517038705993146	0
906.156055	1.4516816807223307	0
907.716406	1.4516595403588624	0
909.27666	1.4516374492052326	0
910.836816	1.4516154070004483	0
912.396777	1.451593414835444	0
913.956738	1.4515714696861928	0
915.516602	1.4515495726468524	0
917.07627	1.4515277248280396	0
918.635938	1.4515059232095069	0
920.195508	1.451484168890901	0
921.754883	1.45146246294652	0
923.314258	1.4514408023876986	0
924.873437	1.451419189662727	0
926.432617	1.4513976217667348	0
927.991699	1.4513760997993592	0
929.550684	1.4513546234728483	0
931.109473	1.4513331938730163	0
932.668262	1.451311808031559	0
934.226953	1.4512904670234332	0
935.785547	1.4512691705614007	0
937.344043	1.451247918385679	0
938.902539	1.4512267088905397	0
940.46084	1.4512055444564678	0
942.019141	1.4511844221618426	0
943.577246	1.4511633443902836	0
945.135352	1.4511423082038275	0
946.693359	1.4511213146835813	0
948.25127	1.4511003635163253	0
949.809082	1.4510794544697085	0
951.366895	1.451058585932708	0
952.924609	1.4510377589761736	0
954.482227	1.4510169732875484	0
956.039746	1.4509962286345206	0
957.597168	1.4509755247181675	0
959.15459	1.4509548599805462	0
960.711914	1.4509342354535446	0
962.269141	1.450913650851923	0
963.826367	1.4508931046383646	0
965.383398	1.4508725991006801	0
966.940527	1.4508521301119992	0
968.497461	1.4508317012558234	0
970.054395	1.450811309701934	0
971.61123	1.4507909564789174	0
973.168066	1.4507706400114615	0
974.724707	1.4507503625860594	0
976.281445	1.4507301201311507	0
977.838086	1.4507099149049625	0
979.394629	1.4506897466493769	0
