wavelength(nm)	n	k
351.986475	2.0192572433280107	3.466981135495668E-06
353.575781	2.017330038597508	6.289323286393575E-06
355.165088	2.0156348060991296	2.37301734734869E-06
356.75437	2.0147393845852553	2.436018342038095E-06
358.343628	2.014606167600628	2.067623494015699E-06
359.932886	2.014032252952303	2.1362684212325642E-06
361.522144	2.0129980365235447	1.5242013343231676E-06
363.111377	2.0115818241525782	1.4828910215699763E-06
364.70061	2.0096620777570675	2.8922815363569797E-06
366.289819	2.0075813944233247	1.0876002089224387E-06
367.879028	2.006740187044023	1.0696187726150347E-06
369.468213	2.006691287190636	9.953048755317635E-07
371.057397	2.0062102839290636	-5.350311126710303E-07
372.646582	2.0050358806419792	-2.9256136413975577E-06
374.235718	2.0029951352884736	9.970000613704266E-07
375.824878	2.0009582415039824	7.129533806831848E-07
377.414014	2.001166889343157	5.76227684427277E-07
379.003125	2.0008667306200727	5.621048253696741E-07
380.592236	1.9998540033637977	4.0539032429886495E-07
382.181323	1.997830962504632	7.65229916663925E-07
383.77041	1.9974250075246343	0.00016071166451719733
385.359473	2.241112635690152	0.03268076182014559
386.948535	1.9854284798885522	-0.0014473409682805695
388.537573	1.994279677834323	7.648283521723001E-06
390.126587	1.9924995032891217	2.417404767020692E-06
391.715601	1.9999815876347717	0.00041074441919858806
393.30459	1.9922483308371153	-1.6438939288786555E-05
394.893579	1.9903958067393592	4.9243707780590106E-06
396.482544	1.989411537032175	2.6073446972415694E-07
398.071484	1.9901744429586445	-1.0724155925947051E-06
399.660425	1.9887381279815122	8.616470403939184E-08
401.249341	1.9865221703105096	-9.693505695488716E-09
402.838232	1.9874925431657107	-3.685723834283628E-06
404.4271	1.986748149107599	3.306897035597971E-07
406.015967	1.9842599175525022	5.006256408834272E-08
407.60481	1.9848988173620687	1.3645821232834877E-07
409.193652	1.9846383933645528	-3.695742507733279E-07
410.782471	1.982136049666771	5.7670243088071E-07
412.37124	1.9825552113171612	2.439695176085109E-07
413.96001	1.9823829302636589	-1.6284672031274756E-06
415.548779	1.9799897045442452	2.717922586258008E-07
417.1375	1.9806470154840137	3.1060335579603685E-10
418.726221	1.980137889643439	3.045734175714056E-08
420.314893	1.9779208612988355	8.743216378594217E-08
421.903564	1.978957831073191	2.7911083186979004E-07
423.492236	1.9778166688970915	3.4431586746270366E-06
425.080859	1.9760116717118525	4.093315730557321E-06
426.669482	1.9770450768716716	3.0627982859619738E-06
428.258057	1.9750118620350352	1.0702590834919501E-08
429.846582	1.9751644396553292	-7.445350183295353E-12
431.435156	1.974959527193595	4.7604098218001664E-09
433.023633	1.9728063717395288	-2.0183385784637334E-08
434.612158	1.9739750966231946	1.3536481322840548E-07
436.200586	1.9721762575550297	1.9129118787484234E-07
437.789063	1.9721259882323416	7.159853087892728E-08
439.377441	1.9718612520500853	5.972806791375864E-08
440.965869	1.9699145441627892	-2.043828786692801E-09
442.554199	1.971006594547118	5.957700205644076E-12
444.142529	1.9687856185169494	1.4983531020336554E-12
445.730859	1.96973660215525	2.4163000503631203E-10
447.319141	1.968435942139323	4.942728676380054E-08
448.907373	1.9680916829634567	2.749690875795344E-07
450.495605	1.9679260674788477	4.254209325194237E-07
452.083789	1.9663176455033646	4.543666846821674E-07
453.671973	1.9671678418521197	6.066567099508951E-07
455.260107	1.9648116309871313	5.266774318586554E-07
456.848193	1.966200862533242	-2.0009737478459635E-07
458.436279	1.963889705953938	4.5003046545153517E-07
460.024316	1.965177047889835	4.4732635755263134E-07
461.612305	1.963312608394024	-4.376753421394501E-07
463.200293	1.9640849638570461	-1.3027527614392192E-07
464.788232	1.9627410815330129	2.2355681408328198E-07
466.376172	1.9629712078270882	1.6548624750655117E-07
467.964014	1.9619832921162303	1.4903059355013052E-07
469.551855	1.9619516350171886	4.444202421475787E-07
471.139697	1.9611923928238264	4.98360741333407E-07
472.727441	1.9609573501778057	-1.179687333488502E-08
474.315186	1.9604062359618297	-1.4679105677875417E-09
475.902881	1.960074163566039	3.382454002100508E-11
477.490527	1.9594677779027672	-2.272964945292714E-08
479.078174	1.9594002512306148	1.6771724942668327E-06
480.665771	1.976671619163075	4.647564716722855E-09
482.25332	1.959496643936074	-8.31384369446411E-09
483.84082	1.9575214297541084	1.2057305429517243E-06
485.428271	1.9578081118051693	8.086410099628742E-09
487.015723	1.956509598875223	-3.368678851477536E-09
488.603125	1.9571599594827738	2.091488943959729E-11
490.19043	1.9553198842257977	3.0563546500187233E-10
491.777734	1.956468310979345	3.6198456088197674E-08
493.36499	1.9542233122734687	1.444933499498636E-07
494.952246	1.9556877394703283	1.2851544715687695E-07
496.539404	1.95356208939072	3.964767716356352E-08
498.126514	1.954803818182649	1.4931726088178798E-07
499.713623	1.9533525526050906	3.7013310133681508E-06
501.300684	1.953787145904993	2.6608489889890206E-07
502.887646	1.9532595136758935	1.5938882168403888E-07
504.474609	1.9525592486286354	3.338464854777753E-06
506.061523	1.952959025896321	2.9721142071872753E-07
507.64834	1.951108265974463	5.3592101363477286E-08
509.235156	1.9524237092322179	4.62381002157724E-07
510.821924	1.9502102585724812	3.148285419033572E-07
512.408643	1.9515072754726572	3.0309690480605415E-06
513.995264	1.9504829421201297	1.5270269361686197E-07
515.581885	1.950272596060901	8.140573230547469E-08
517.168457	1.950493401901213	7.424465130191844E-08
518.754932	1.9487046263123025	1.5377108088583537E-08
520.341406	1.9500539828559973	2.4822539930210085E-13
521.927783	1.9480756646621138	2.141149307257732E-10
523.51416	1.9490167690579971	4.7529610666208775E-08
525.100439	1.9485897116595745	1.9472652271641267E-07
526.68667	1.9474943855243843	2.652307147776056E-07
528.272852	1.948451040224304	2.33754392928253E-07
529.858984	1.9464356053482987	3.882751948898657E-07
531.445068	1.94754318392871	5.227345227486913E-07
533.031055	1.9470107029933965	9.249962250126877E-08
534.616992	1.9460123008015353	7.659935775988932E-08
536.202881	1.9469717847498298	5.34165779298404E-08
537.788721	1.944962751892553	-8.25387723683786E-11
539.374512	1.9459868536292406	-5.274563414888294E-13
540.960254	1.9457792030142396	6.391052894688576E-16
542.545898	1.9443056645374106	-4.551662095465228E-13
544.131494	1.9455770119176299	-3.634735574420786E-10
545.716992	1.944236302352606	3.838401809103433E-08
547.30249	1.9442549609439441	1.4478975594789866E-07
548.887891	1.9447038637911738	-6.554130325860005E-08
550.473242	1.9427336100248576	2.6072190364560437E-07
552.058496	1.9439010253133122	4.436402974082747E-07
553.643701	1.9435743619488537	3.5753612601882916E-07
555.228857	1.9420471837167639	2.5277337886695225E-06
556.813965	1.9433704564012217	3.378522899108317E-07
558.398975	1.9423462465162475	3.718171773553367E-07
559.983936	1.9418268931614404	2.4868547562224637E-07
561.568799	1.9426562558367013	3.0997631662613216E-07
563.153613	1.9411491616136949	1.3478243042629297E-06
564.73833	1.9413853343161163	9.863536662222668E-08
566.322998	1.9418672717922538	1.1527999188107297E-07
567.907617	1.9400460600723657	-7.489883704153373E-12
569.492139	1.9408803600532776	-1.9981698807692714E-12
571.076611	1.9410685815374071	-7.774418737008907E-15
572.660986	1.939103155850692	-1.5351227735683415E-17
574.245313	1.9403092485436073	1.991162710379581E-17
575.829541	1.9403045859848145	2.8166058317478218E-14
577.413672	1.938333332836341	2.375404909479159E-12
578.997803	1.9396560327065098	-3.3138348320867536E-10
580.581787	1.9395660119496134	-3.505794393746435E-07
582.165723	1.9376564910832872	-2.87172549453813E-07
583.749609	1.9389736770964923	-2.8013600893902172E-08
585.333398	1.9389029208474156	-1.2290200876283762E-06
586.91709	1.9370739237644208	8.641106098148268E-07
588.500684	1.9382489332949795	1.1283303637968469E-07
590.084229	1.9383438801604376	3.8816415543920094E-08
591.667725	1.9365610144314904	3.457372473081738E-07
593.251123	1.937514161328334	1.0186247047923662E-08
594.834424	1.9378012445618022	1.1816162252183506E-06
596.417627	1.936161705143042	1.6976514164153153E-06
598.000781	1.9366865574892267	3.4270579035654576E-07
599.583838	1.9372794545182517	6.456046864629622E-08
601.166797	1.9359905357155538	1.3914755698363305E-07
602.749707	1.9357964254675457	-1.876078416902557E-07
604.33252	1.936685932845117	-2.668144882047328E-07
605.915234	1.9358119133781877	2.9867560310523184E-08
607.497852	1.9347223341700932	-3.622051712578345E-07
609.08042	1.9359071726192896	-1.8554973443223308E-07
610.662891	1.9355927687434913	-3.154377652463469E-09
612.245264	1.9338372838635416	9.12950608067064E-13
613.827539	1.9349843436587069	-1.2014971337631897E-10
615.409717	1.9352574364007726	3.534286512791278E-08
616.991846	1.9338123061147043	5.804813658080325E-09
618.573877	1.9339043388701236	1.0051690628077501E-09
620.155762	1.9347321057394555	6.673952501058821E-11
621.737598	1.9339827695102467	2.4395795107314508E-08
623.319385	1.9326514111493729	9.479707494894307E-12
624.901025	1.9339074048198754	-5.137712114416152E-13
626.482568	1.9339333270639387	-2.491945924795369E-15
628.064063	1.9324239981271354	-2.2708467920078437E-18
629.64541	1.9327862127382083	4.941009435977096E-20
631.226709	1.9335193867718707	1.1354983852253102E-19
632.807861	1.9327745541055157	1.5174161650819614E-17
634.388965	1.9314116096940448	-4.331884338631781E-15
635.969971	1.9326072868843378	-1.150928443190382E-12
637.55083	1.93279336157408	-9.28644131748256E-10
639.131641	1.9314878754852483	1.7443532943311861E-07
640.712354	1.9313462136393256	2.056494451274536E-06
642.29292	1.9322210964489714	-7.03967017214139E-10
643.873438	1.931890669725438	-9.211572415759666E-09
645.453857	1.9303171439008786	2.5616014610179296E-07
647.034131	1.9311059236398596	2.323185882532892E-07
648.614355	1.9317069069337904	3.899844627920915E-07
650.194434	1.9309542042517258	4.969891959900923E-07
651.774414	1.9296092646193153	5.541528794168591E-07
653.354346	1.9307472898837412	5.898933250671373E-07
654.934131	1.9310799797075888	-1.1250444364714948E-07
656.513818	1.9301156066413157	1.8899935830637805E-07
658.093408	1.9292172752550796	2.7259493442769665E-06
659.6729	1.9303169524295813	-7.033093805846995E-08
661.252246	1.9304649421905529	1.7301957691165462E-07
662.831543	1.9293490144937913	-2.080503078360631E-07
664.410693	1.9287705132354789	1.5491427403701631E-07
665.989746	1.9298202967939628	2.859869231757586E-07
667.568701	1.9298914682949877	3.77935313334556E-07
669.147559	1.928730240748061	4.479042777631314E-07
670.72627	1.9282716928541643	1.5949046534069464E-06
672.304883	1.9292568378201	2.5178730754280027E-06
673.883447	1.9293098161317692	4.090978226084508E-08
675.461816	1.9281809403628147	2.262315700824244E-08
677.040137	1.9276104192476495	-3.4911595332853233E-12
678.618311	1.9286297102625651	-1.8098448777461216E-11
680.196387	1.9287764272778425	-1.9795585710339474E-09
681.774365	1.9277904578020642	-3.163789630825743E-08
683.352246	1.9269435826618702	1.685835487022508E-06
684.92998	1.9279530109044312	6.796604394630188E-09
686.507617	1.92824776063809	1.273699106359495E-09
688.085107	1.9274718490177434	-1.4022093237655806E-08
689.662549	1.9261994215599587	2.122275700203848E-08
691.239795	1.9272321498077938	5.872441418889201E-08
692.816992	1.9277444353966597	1.0789819728806414E-07
694.394043	1.927228168503687	-1.5984787798449092E-08
695.970996	1.925811623873496	-7.220180182263261E-08
697.547852	1.9263845367644608	1.2969400485075761E-08
699.124561	1.9271424586435815	4.852331976337778E-11
700	1.9272030367210229	7.196271596166919E-12
700.701172	1.9269958268283678	4.545355587358918E-10
702.277637	1.9259124790717184	1.8244052644787382E-07
703.854004	1.9254220062130452	1.7472773861257013E-06
705.430225	1.9264294888007314	-4.189316862331489E-08
707.006396	1.9266853564895572	3.683792132486914E-07
708.582373	1.9259800748357172	-4.5525292563818477E-07
710.158301	1.924677685878294	2.264338150684194E-07
711.734033	1.9255177820150726	7.606037972699375E-08
713.309717	1.926135497725653	1.8718314615397896E-07
714.885254	1.9259465377092853	3.695191925427642E-07
716.460645	1.9248660459694737	5.306482390920893E-07
718.035938	1.924357543617568	3.977528315858719E-07
719.611133	1.92530252484634	4.6726592700061873E-07
721.186182	1.9256592777220594	-3.9829725977854236E-08
722.761084	1.9250836742814916	1.2883284625564762E-07
724.335937	1.9237430509029239	1.950157432474371E-06
725.910596	1.9242074981737016	1.8982810685163058E-06
727.485156	1.9249774079078863	2.7805368930947616E-07
729.059619	1.9250560566660626	-1.3128200765132267E-07
730.633936	1.9242829633156697	1.2890140013760044E-07
732.208105	1.9230948322360646	1.1580072744423693E-07
733.782178	1.923929383296809	8.882013997236557E-07
735.356152	1.9245622184261275	4.84808805663961E-07
736.92998	1.9244603862709666	4.0812054348289225E-07
738.503662	1.9235794769950763	1.77749537316816E-07
740.077246	1.9226430835868795	7.851867170364501E-07
741.650684	1.9235398082282127	7.85868140364604E-07
743.224023	1.9240736758633659	1.2070067881412562E-06
744.797217	1.9239228283614382	2.0679298718118825E-06
746.370264	1.9229959767865679	1.3853371524125133E-06
747.943213	1.9221689359293164	1.478722229213886E-06
749.516016	1.9230729431631062	1.6435269749199257E-06
751.088721	1.9236081606818751	1.981607785350444E-06
752.661279	1.9234086713823533	1.8659034050891273E-06
754.23374	1.92256750278459	2.0154060032495707E-06
755.806055	1.9216399044158388	1.735142867140463E-06
757.378223	1.9226801525301243	3.708194014856817E-06
758.950293	1.923103051441674	2.2285535190642176E-06
760.522217	1.9230282070108584	2.031996738977165E-06
762.093994	1.9223250335996875	-1.2177869396930264E-06
763.665674	1.9211280806968107	1.7189790003103347E-06
765.237256	1.9218855770739172	1.5468875290970553E-06
766.808643	1.9224965272134111	1.3819768433600678E-06
768.379932	1.9226250571107846	1.3866944592359051E-06
769.951123	1.9220099032991906	1.279319688077948E-06
771.522119	1.9208463260174036	1.066818203969226E-06
773.093018	1.921116742643341	1.36350907991205E-06
774.663818	1.9218828810321995	1.3001559869572004E-06
776.234473	1.9221834638782183	6.294316884675527E-07
777.80498	1.9218042702307343	1.1787966702848204E-06
779.375342	1.9208611886337856	1.0971736785020338E-06
780.945605	1.9202135476229807	1.002209394090583E-06
782.515723	1.9211251974837402	1.175622796955643E-06
784.085742	1.9216407701007785	1.0772249135852937E-06
785.655615	1.921590843633983	1.1854837009438476E-06
787.225342	1.920917042393372	1.2693745810824554E-06
788.794971	1.9197552623411844	9.710117005505142E-07
790.364453	1.9201977079720005	8.529348700264541E-07
791.933789	1.9209334136304825	9.882737815021442E-07
793.503027	1.921229515219308	8.639612916775012E-07
795.07207	1.9209167845562514	7.38766112412389E-07
796.641064	1.9200701158147762	5.771983818069503E-07
798.209863	1.9192550413965055	6.752717260922792E-07
799.778564	1.9200019465991864	4.213555086926486E-07
801.347168	1.9206149011595708	3.5730730535298984E-07
802.915625	1.9207460022119343	2.2889777645074903E-07
804.483936	1.9203029535490794	3.0007785629343437E-07
806.0521	1.919317039760711	1.7951087766296946E-07
807.620166	1.9189389932703755	1.6632316644902362E-07
809.188086	1.9196808279766155	3.984359016225374E-07
810.755859	1.9202280724139675	3.753511383106251E-07
812.323535	1.9202531238810128	-2.016064128945124E-07
813.891064	1.9197641605590705	2.3432747472426077E-06
815.458496	1.9187202172554436	6.860486609664639E-07
817.025781	1.9185461019351733	-1.1351301704341539E-07
