wave(nm)	 P반사율	 S반사율
40	 0.49199	 0.65870
42	 0.48089	 0.66686
44	 0.46877	 0.67546
46	 0.45554	 0.68450
48	 0.44109	 0.69400
50	 0.42529	 0.70394
52	 0.40799	 0.71435
54	 0.38902	 0.72522
56	 0.36818	 0.73655
58	 0.34523	 0.74835
60	 0.31989	 0.76062
62	 0.29184	 0.77336
64	 0.26067	 0.78657
66	 0.22591	 0.80026
68	 0.18697	 0.81442
70	 0.14314	 0.82905
72	 0.09352	 0.84414
74	 0.03701	 0.85970
76	 0.02794	 0.87572
78	 0.10302	 0.89219
80	 0.19081	 0.90911
82	 0.29463	 0.92646
84	 0.41910	 0.94424
